name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,allergen,allergen_milk,allergen_nuts,allergen_soybeans,allergen_gluten,allergen_eggs,calculated_nutriscore,health_class
Drink Me Chai Spiced Chai Latte - 15 gram,drinks,7.33,75.3,64.0,9.33,2.0,0.001,Allergens: Milk,1,0,0,0,0,3,Harmful
Hazelnut drink - Rude Health - 1 L imp,drinks,0.4,13.9,4.1,0.1,0.1,0.1,Allergens: Milk,1,0,0,0,0,3,Harmful
Actimel Strawberry - Danone - 800 g,drinks,2.8,11.0,11.9,1.0,1.0,0.1,Allergens: Milk,1,0,0,0,0,2,Neutral
Coca-Cola Vanille - 330mL,drinks,0.0,10.6,10.6,0.0,0.0,0.0,Allergens: Milk,1,0,0,0,0,3,Harmful
Batido de Chocolate - Puleva - 200 ml,drinks,3.2,9.5,9.5,0.8,12.751875527426158,0.18,Allergens: Milk,1,0,0,0,0,2,Neutral
Pepsi Max - 330ml,drinks,0.0,0.0,0.0,0.0,12.751875527426158,0.0,Allergens: Milk,1,0,0,0,0,2,Neutral
Danao multi vitamines - 900ml,drinks,0.8,7.6,7.3,0.0,12.751875527426158,0.0,"Allergens: Milk, Orange",1,0,0,0,0,2,Neutral
PLJ Lemon - Rayner's - 500ml,drinks,0.09,1.08,0.4,0.01,0.01,0.03,Allergens: Sulphur dioxide and sulphites,0,0,0,0,0,3,Harmful
"Petits Filou - Tub's, goût fraise, framboise et pêche - Yoplait",drinks,3.8,11.9,10.8,1.8,12.751875527426158,0.14,Allergens: Milk,1,0,0,0,0,2,Neutral
Bevanda 100% Vegetale Gusto Latte Classico Avena - Alpro - 1 l,drinks,0.7,6.3,1.2,0.4,1.0,0.12,Allergens: it:avena,0,0,0,0,0,2,Neutral
Kombucha - Remedy - 4 x 330 ml,drinks,14.52,52.0,78.0,29.935,20.232014218009482,2.62,Allergens: it:avena,0,0,0,0,0,2,Neutral
Müllermilch - Erdbeer-Geschmack - Müller - 400ml,drinks,3.2,9.5,9.5,0.9,3.2,0.14,Allergens: Milk,1,0,0,0,0,2,Neutral
FANTA Portocale - 2.5L,drinks,14.52,51.0,54.0,29.935,20.232014218009482,2.62,Allergens: Milk,1,0,0,0,0,2,Neutral
Kefir strawberry - Lifeway,drinks,4.167,7.5,7.5,0.0,0.0,0.13,Allergens: Milk,1,0,0,0,0,2,Neutral
Almond Breeze Almondmilk Unsweetened Original Chilled - Blue Diamond - 1.89l,drinks,0.4,0.4,13.901433217189314,0.2,0.4,0.17,Allergens: Nuts,0,1,0,0,0,3,Harmful
"Limonade Bio Lorina - 1,25 L",drinks,0.0,8.4,8.4,0.0,0.0,0.01,Allergens: Nuts,0,1,0,0,0,3,Harmful
"Coca-Cola Light - 0,5 l",drinks,0.0,0.0,0.0,0.0,0.0,0.01,Allergens: Nuts,0,1,0,0,0,3,Harmful
Boisson petillante Belvoir Fleur de Surea - Belvoir Fruit Farms - 750ml,drinks,0.0,7.9,7.8,0.0,12.751875527426158,0.0,Allergens: Nuts,0,1,0,0,0,2,Neutral
Ginger Beer 275ml flaske Fentimans - Cask as - 275 ml,drinks,0.0,4.6,4.4,11.578162962962963,12.751875527426158,0.0,Allergens: Nuts,0,1,0,0,0,2,Neutral
